File; Clique; Time (sec)
brock200_1.clq; 19; 0.071
brock200_2.clq; 10; 0.04
brock200_3.clq; 13; 0.05
brock200_4.clq; 14; 0.052
brock400_1.clq; 21; 0.185
brock400_2.clq; 22; 0.186
brock400_3.clq; 21; 0.188
brock400_4.clq; 22; 0.192
C125.9.clq; 31; 0.085
gen200_p0.9_44.clq; 36; 0.154
gen200_p0.9_55.clq; 41; 0.155
hamming8-4.clq; 16; 0.063
johnson16-2-4.clq; 8; 0.032
johnson8-2-4.clq; 4; 0.006
keller4.clq; 11; 0.043
MANN_a27.clq; 124; 2.464
MANN_a9.clq; 16; 0.026
p_hat1000-1.clq; 9; 0.17
p_hat1000-2.clq; 36; 0.387
p_hat1000-2.clq; 34; 0.388
p_hat1500-1.clq; 9; 0.271
p_hat300-3.clq; 29; 0.125
p_hat500-3.clq; 40; 0.308
san1000.clq; 9; 0.398
sanr200_0.9.clq; 36; 0.153
sanr400_0.7.clq; 18; 0.153
